id,name,description,property_type,room_type,price,weekly_price
1,Stylish One-Bedroom Apartment,"Make your self at home in this charming one-bedroom apartment, centrally-located on the west side of Queen Anne hill. This elegantly-decorated, completely private apartment (bottom unit of a duplex) has an open floor plan, bamboo floors, a fully equipped kitchen, a TV, DVD player, basic cable, and a very cozy bedroom with a queen-size bed. The unit sleeps up to four (two in the bedroom and two on the very comfortable fold out couch, linens included) and includes free WiFi and laundry. The apartment opens onto a private deck, complete with it's own BBQ, overlooking a garden and a forest of black bamboo. The Apartment is perfectly-located just one block from the bus lines where you can catch a bus and be downtown Seattle in fifteen minutes or historic Ballard in ten or a quick five-minute walk will bring you to Whole Foods and Peet's Coffee or take a fifteen minute walk to the top of Queen Anne Hill where you will find a variety of eclectic shops, bars, and restaurants.",Apartment,Entire home/apt,85.00,
2,Lovely 2 BR Cottage,"This home is full of light, art and comfort. 5 mins to Downtown, 1 min to coffee. The Space This is a 1000 square foot, two bedroom, one bathroom house. This home has a large kitchen and two very large indoor eating spaces. The open plan kitchen and living room have two sets of French doors opening to west facing decks with additional seating and lots of room to play. The two bedrooms are very comfy with new carpet and separately controlled heating. Take advantage of our kitchen for meals, or venture out and sample Seattle's restaurants during your stay here! Start the morning off right with some coffee on the deck. Or head out to Tenth West, Storyville Coffee Company, or Caffe Fiore. Then enjoy a nice, leisurely breakfast at The Seattle Grind, Macrina Bakery & Café, or Bustle. All are popular stops near our house. Head out for some fresh morning air – go for a nice walk at Kerry Park, Parsons Gardens, or Discovery Park. Try Bounty Kitchen, Le Reve Bakery & Café, or 5 Spot for lunch.",House,Entire home/apt,109.00,
3,Open Airy Condo,"Designer home situated on Queen Anne Hill overlooking Magnolia. Enjoy custom furnishings, gourmet kitchen, spa bathroom, and a cozy bedroom. Easy access to downtown Seattle, Ballard and Fremont. Whole Foods is just a walk away. *all building construction is finished. During the summer, there was construction on the building but they are finished now. The building has been completely updated on the outside and my unit is completely remodeled too. Guest have access to the all the kitchen items and laundry area. All the drawers and closet in the bedroom are off limits. This is a really quiet neighborhood with plenty of free street parking. Great walking neighborhood with parks close by and great stair climbs. There is a very convenient bus line a block away that will take you anywhere in the city. In the neighborhood, there is plenty of free street parking. My neighbors are really quiet and the condo doesn't share any walls with other units. The bedroom has blackout curtains.",Apartment,Entire home/apt,80.00,500.00
4,Walker's Dream Basement Apartment,"Recently remodeled modern daylight basement apartment in Queen Anne. Close to everything and walking distance to tons of shops and restaurants. Newly remodeled daylight basement on top of Queen Anne Hill just minutes away from Downtown Seattle, yet still keeps the low key quality of a single family neighborhood. This is a private apartment with it's own private entry. Guest will have access to a shared Laundry Room. This neighborhood, and this unit in particular, is extremely walk-able. Everything anyone could need is within a 5 minute walk. I've provided a convenient walking map with legend to help locate everything you may need, with some personal commentary added. Buses are right around the corner. An Uber X ride downtown is $5-$7. This is also within the Car-to-go service area, with many vehicles parked within the neighborhood. There is also a dedicated parking space steps from the front door, as well as plenty of on-street parking. Walking distance to Seattle Pacific Univ.",Apartment,Entire home/apt,110.00,
5,One bedroom with Lounge,"This large, remodeled daylight basement space includes a private entrance, private bedroom with Queen bed and closet, a full bathroom and laundry room, mini fridge, massive tv and comfy couch. At the top of Queen Anne, Downtown is a 5 min drive away. With a comfortable space for lounging and having guests and a secluded work area complete with a desk, this basement can host those liking to relax with a beer and watch the big game or those looking to do business or explore Seattle. The daylight basements gets lots of natural light. Full access to all basement amenities, including washer/dryer, full bath, bedroom, living room, and desk. I'd be happy to meet every guest and share info on the city and neighborhood I love, but we're a super busy family, so will mostly keep to ourselves in the main upstairs living space. Queen Anne is Seattle's prime neighborhood, sitting atop a hill above the Space Needle. It's the closest neighborhood to downtown, but far enough to escape the noise.",House,Private room,150.00,540.00
6,Lower Queen Anne Studio,"I love my 3rd floor vintage studio apartment w/ courtyard patio! It is on lower Queen Anne & a 10 min walk to Seattle Center. Includes elevator, secured entry, hardwood floors, vaulted ceilings, big windows, full bath & kitchen. Small & efficient! -kitchen (stocked with basics & condiments) -bathroom (with vintage claw foot tub, excellent tub for a long bath.) -40in Flat screen TV, Blu-ray, Apple TV, Hulu Plus, Wifi, ihome alarm clock. -Courtyard patio! (The patio looks down on the interior courtyard & is shared with another apartment. It is accessible through a large window. ) -1 double bed. While the bed is a futon it has a thick memory foam topper which makes it incredibly comfortable. New bedding + 4 pillows. -Quiet! The residents are pretty quiet... Wake up to the sound of the fountain in the courtyard. -Small... Only accommodates two people. No set dining area. -Kinnear Park is across the street, walk to iconic Kerry Park or visit Marshall Park.",Apartment,Entire home/apt,100.00,
7,Queen Anne Craftsman studio,"Beautiful craftsman style studio, located in one of the neatest neighborhoods in Seattle. Just a few blocks from amazing restaurants and shops. The Urban Nest studio is located above a detached garage. Private entrance with parking space. The Urban Nest studio was built with comfort in mind. The studio was completed along with the main house in 2015, is an example of true craftsmanship and architectural beauty. Guests have private entrance and dedicated parking space Queen Anne Hill is centrally located. A very friendly walkable place. The Urban Nest Studio is three blocks to Queen Anne Ave. Where you can find Trader Joe's, too many coffee shops to list, a wonderful bookstore, gift shops and amazing restaurants. The metro bus stop is three blocks away and the Seattle Center and Pike Place Market are 5-10 minutes away by bus.",Bungalow,Entire home/apt,110.00,700.00
8,Renovated 2 bedroom,"Located on 2nd & 3rd floors of a circa 1900 house in historic old Ballard. It is a complete, fully functional apartment with a fully equipped kitchen. Nothing is shared with the main floor apartment except laundry. Close to everything! No car needed. This delightful retreat is located on the second and third floors of a circa 1900 house in historic old Ballard. It is a complete, fully functional apartment with a fully equipped kitchen. Nothing is shared with the main floor unit except laundry facilities in the shared entry. Acoustic insulation insures that you will hear little if anything from your downstairs neighbor. This apartment was completely renovated in 2013 in keeping with the home's original character. We did it with the intent of moving in when we retire, so the work is top notch and very tasteful. Oak floors extend through the entry, living room, kitchen, stairs to third floor and both bedrooms. In addition to the Queen and 2 twin beds, there is a portable bed.",Apartment,Entire home/apt,129.00,903.00
9,Private bedroom in Ballard,"Bright, clean bedroom in charming Ballard house. Two blocks from bus lines to downtown and University District, as well as neighborhood's best bars and restaurants. Comfy queen bed, spacious closet, Wi-fi. Large, comfortable couch for a third party. I furnished my guest bedroom with travelers in mind. The bed is large (a queen) and very comfortable. The room is bright and cheery. There is a desk if you'd like to work during your stay, and books if you'd like to relax. A coffee machine lives in the room, so you can brew at any hour. Sugar cubes, creamers, teas and other sweeteners are also there for your choosing, because this is Seattle and caffeine cannot be underestimated. There are lots of big fluffy towels and washcloths for the taking. The closet is large and full of hangers, with plenty of space to stow even your bulkiest luggage. There's also a dresser with two open drawers. The third drawer is full of snacks, toiletries, first aid and anything else you might have forgotten.",Apartment,Private room,69.00,350.00
10,Cozy Townhome in Ballard,"2 bedroom and 1.5 bath townhouse with dining table and breakfast bar, fully outfitted living room, upright piano, and stocked kitchen... conveniently situated near public transit and within the heart of Old Town Ballard. We have a lovely two bedroom, one and half bath town home (about 1100 sq feet) located within Ballard, one of Seattle's most vibrant and trendy neighborhoods. The master bedroom houses a queen size bed and the smaller bedroom has a full size bed; both are located on the 3rd floor. The two are connected by a jack and jill bath with a door separating the shower from the sinks. The utility closet is on the top floor and holds a washer/dryer as well as an iron + iron board. The main level has an open floor plan with a fully stocked kitchen and living room. The kitchen has a gas range, dishwasher, loads of cookware, appliances, and utensils along with a long breakfast bar with 4 stools. The living room provides a television with basic channels.",House,Entire home/apt,150.00,
