id,listing_id,date,comments
1,1,2011-11-01,"Excellent all the way around. The host was an excellent host and kindly invited me to movie night on my last evening in the apartment. The apartment's warm and modern design and furnishings cannot be fully appreciated with photos. I am a Seattle native and this part of Queen Anne is one of the best parts of the hill.The extremely private front porch/deck area hides behind a lush bamboo screen but a view of Elliott Bay and Puget Sound is three steps out into the welcoming yard. Very close to major transit lines and ample on-street parking for your vehicle makes traveling south into downtown (15 minutes, tops, to Pike Place Market by car, not much more by bus!!!) and traveling north across the historic Ship Canal into Ballard (which is far cooler than downtown Seattle) is almost instantaneous. If you want to live like a native, connected to the city and the sea, give The host's space a week or two."
2,1,2011-11-04,"The host's apartment was a wonderful place to stay! Extremely comfy and relaxing with a beautiful view. The location is very convenient and close to a lot of things to do, weather you have a car or are taking the bus around town. I would recommend anyone traveling, weather for business or pleasure, that this is a great spot with a great host!"
3,1,2011-11-08,"One of the most pleasant stays I've had in my travels. The host is wonderful!"
4,1,2011-11-14,"The host's suite is beautiful, cozy and conveniently located. I love that armchair! One tip: when she offers you detailed directions: take them, especially if you're arriving after dark! ;)"
5,1,2011-11-19,"Our stay was short and pleasant. With its own porch space the flat boosts a lot of privacy! Wish we could have made it in summer to barbecue."
6,1,2011-11-23,"I had a wonderful 4 night stay in this apartment. The place is crisp and clean and in a fantastic location. Walking around the Queen Anne neighborhood each day showed the real charm of Seattle and I hope I have a chance to stay again!"
7,1,2011-11-27,"The apartment was really nice and homey. It was located in a good area. The host was very friendly. It was just right for our little family. We would love to stay there again on another visit to Seattle."
8,1,2011-11-30,"I stayed here for 3 days and had no problems with the house or the owner. One of my fren decided to join us at the last minute and The host had no problems with the extra person. The house was pretty comfortable for us and was as described in the ad. We found parking near the house always and the location is great as its just a 15 min ride to downtown. I would be willing to stay here again when visting Seattle."
9,1,2011-12-05,"I did booking for my sister, and she liked the place very much. It is conveniently located, comfortable and private."
10,1,2011-12-09,"We were unintentionally poor guests; we broke the cork screw and stayed an extra day thinking that we had actually rented for 3 instead of 2 days. The host was kind and cool and collected. Very nice apartment!We would rent it again if she allowed us back...."
11,1,2011-12-14,"the apartment is spacious, comfortable, and very usable - nice simple decor. as walkers the location was perfect - but if required a bus stop was never far away. lower queen anne, ballard, and the fremont neighborhoods are all quite accessible. take the walk over queen anne hill via kerry park with its view of the city and down to the the waterfront art park and bell town."
12,1,2011-12-20,"The host was very welcoming to us. She showed us around the apartment and handed us the keys. We were on our own the rest of the stay. We basically just needed a place to stay for a friend's wedding, so we really did not stay at the apt the whole time, only to sleep. Everything was smooth. Found the place right away and it was about a 5-10 minute drive from her place to Pike's Place Market. There is a Whole Foods market and a Pete's Cafe down the hill from her. Definitely need a car.If you are a light sleeper, don't know if the noise from the walking on the floors above, would bother you. You can pretty much hear everything.Very nice stay and great price! Thanks for hosting us!"
13,1,2011-12-30,"We stayed in this wonderful space for two days. The host provided detailed directions to the flat, as it can be difficult to find. Everything is as described, but better in person. The apartment itself is very private and clean, with ample free(!) street parking. The rooms are beautifully simple, with artful decor and an open layout. Noise was not an issue for us. The location is central and a close drive or decent walk to everything Seattle has to offer. We would love to stay there again in the future."
14,1,2012-01-10,"My husband, mom and I thoroughly enjoyed our weekend stay at the apartment. It was clean, peaceful and very comfortable. There was minimal noise from the footsteps upstairs, and you wouldn't know there is a busy road just down the hill. The location was a little difficult to find at first, but it didn't take long to sort out. The bed was more comfy than any swanky hotel room's and my mom was very comfortable on the fold-out futon in the living area -- with a nice, plush comforter and pillows provided. Our host even stocked hot tea to prepare with a kettle on the stove -- a very welcome treat as it was cold and damp outside that weekend. We are looking forward to staying there again on our next visit to Seattle!"
15,1,2012-01-13,"My husband and I stayed here for three nights and thoroughly enjoyed the lovely space. The apartment is very functional\ private, quiet; good kitchen layout, comfortable bed, everything we needed. Had a small glitch with the internet connection but we were able to resolve it with the host's help. The host was good about responding to our questions, and flexible on our arrival and departure details. FYI, the location is slightly off the beaten track and requires climbing some stairs, so not so good if you don't have a car or have mobility challenges -- but for us it was perfect."
16,1,2012-01-16,"I was very comfortable at the apartment. A great overall experience and she really went out of her way to provide some good recommendations."
17,1,2012-01-30,"This was a perfect spot for our stay! We needed access to the Arts Center and it was a beautiful walk along the scenic Highland Drive. We found the apartment charming, very comfortable and a perfect price!"
18,1,2012-02-10,"We absolutely adored this lovely apartment! It was the perfect spot to help us ease into the Seattle community upon our relocation to Seattle from N.Y. while waiting for our things to arrive..."
34,1,2012-09-07,"What a fantastic space to call home-base while visiting Seattle. Great location, the host was a pleasure and the space was perfect- just like in the pictures, mid-century mod and the bed was soooo comfortable! We had our privacy but the host responded right away when we had questions. Easy to park on the street out front and such a perfect example of the pleasures of Seattle living. We were even able to host a little dinner barbeque on the patio in front of the space. I will definitely be back if I can!"
35,1,2012-09-10,"It was a lovely, very comfortable apartment with a nice outside porch and total privacy. The host was very accomodating as I wanted to invite our niece to stay with us on the second night. We didn't use the kitchen, but it was fully equipped and we could have cooked a dinner there had we wanted to. I highly recommend it. Only downside would be if someone needed a railing to go down the back stairs.. There isn't one."
19,1,2012-02-20,"Great apartment in Seattle, very comfortable. The host was great and answered all of our questions. We did not have any problems and really enjoyed our stay. Parking is on street, but there were always spots available. The neighborhood felt very safe and we had no problems leaving our rental car out of sight even though we were a little paranoid since they gave us a much more expensive car than we had expected!We had no trouble finding the place, and although it is not in the most walkable area it is pretty centrally located and there is a Whole Foods nearby for supplies. Although you can hear footsteps from above, it was not an issue for us at all and I tend to have sleep issues. Also a bonus: plenty of hot water! Nice, as is can get pretty chilly in Seattle, and there is only one heater in the apartment (and it took us a while to figure out we had to turn it wayyy up to get enough heat!) One reviewer did mention that this is not the place for you if you have mobility issues and I agree: the steps that lead to the apartment are wooden & with the rain can get slippery, and there is no railing. It's probably best for a couple if you want privacy since there is no door to the bedroom, just a curtain, and the bathroom is through the bedroom.Overall we had a great stay here and would not hesitate to return."
20,1,2012-02-24,"The host welcomed us warmly and provided lots of materials about Seattle. She was a very gracious host. The apartment was great -- everything was extremely clean and comfortable, and she had added a lot of decorative touches. Queen Anne was a great neighborhood, and it was a short drive to downtown Seattle. There was plenty of street parking."
21,1,2012-04-08,"It was great! Has an incredible host. We and our kids stayed there and we thoroughly enjoyed it. Was maybe a two minute walk to the bus stop (if that) and everything was just as The host describes it. We have recommended her place to family we have that live in the area for when they have company from out of town that they don't have room for. We would stay there again if in the area."
22,1,2012-05-30,"My husband and I visited Seattle for a conference and had a great time staying at this flat. The apartment has got a great vibe and she's stocked it with all the trappings to make cooking, sightseeing and snoozing a breeze. We had easy access (via rental car) to downtown and the host offered some good tips for local restaurants, shopping, hiking and live music. And, while staying in her quiet neighborhood with a view of the golf course from the patio and Whole Foods just down the street, we felt right at home during our stay!"
23,1,2012-06-07,"My college age daughter and I spent a week in this apartment. Although it's the bottom of the house, kind of a daylight basement, there was enough light and a lovely view on the back porch into vegetation and the garden and a farther view to the driving range at Interbay. It worked perfectly for us and we slept well on the queen size bed (me) and the futon bed (daughter.) Loved the spacious kitchen. The garden is lovely and the apartment is quiet and cozy. Parking is very scarce in the evening on the street but because of the oddity of that part of Queen Anne, you can usually find parking on the upper level of the street and just come back down via stairs in the middle of the block. The host is a welcoming, easygoing accommodating host and made us feel instantly at home. At the same time, we had all the privacy we needed."
24,1,2012-06-18,"The apartment was comfortable and spacious. Very comfy bed. All the essentials in kitchen and bath. Very clean. Great internet. Good privacy. Very convenient location. Charming side entry garden area that leads to the basement apartment. Our college age daughter was able to stay with us a couple nights on the futon couch in the living area. The host was delightful. We appreciated her quick responds to pre -arrival communications and her ready availability the day of check in."
